,location,description,price,no_beds,square_foot,Type,Furnishing,building,place
464,"Sai Sadan Residency,Samatha Nagar, Kukatpally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Sai sadan residence Located In Banjara hills, Hyderabad.Read more","54,000",3,2400,Flat, Semi Furnished ,Sai Sadan Residency, Kukatpally
465,"Jain Ravi Gayathri Heights,Jubilee Enclave, Hitech City,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Jains Ravi Gayathri Located In Hitech City, Hyderabad.Read more","36,000",3,2200,Flat, Semi Furnished ,Jain Ravi Gayathri Heights, Hitech City
466,"Jain Ravi Gayathri Heights,Jubilee Enclave, Hitech City,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Jains Ravi Gayathri Located In Hitech City, Hyderabad.Read more","43,000",3,2200,Flat, Semi Furnished ,Jain Ravi Gayathri Heights, Hitech City
467,"Indis One City,Kukatpally Housing Board Colony, Kukatpally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Indus One City Located In Kukatpally, Hyderabad.Read more","34,000",3,2000,Flat, Semi Furnished ,Indis One City, Kukatpally
468,"Indu Annexe Project,Kukatpally Housing Board Colony, Kukatpally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Indu Annex Located In Kukatpally, Hyderabad.Read more","30,002",3,1500,Flat, Semi Furnished ,Indu Annexe Project, Kukatpally
469,"Lodha Meridian,Kukatpally Housing Board Colony, Kukatpally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Lodha Meridian Located In Kukatpally, Hyderabad.Read more","45,000",3,1454,Flat, Semi Furnished ,Lodha Meridian, Kukatpally
470,"Lodha Meridian,Kukatpally Housing Board Colony, Kukatpally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 2 BHK Is Available In Lodha Meridian Located In Kukatpally, Hyderabad.Read more","34,000",2,2000,Flat, Semi Furnished ,Lodha Meridian, Kukatpally
471,"Lodha Meridian,Kukatpally Housing Board Colony, Kukatpally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Lodha Meridian Located In Kukatpally, Hyderabad.Read more","35,002",3,2000,Flat, Semi Furnished ,Lodha Meridian, Kukatpally
472,"IJM Raintree Park Phase 1,Kukatpally Housing Board Colony, Kukatpally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Rain Tree Park Located In Kukatpally, Hyderabad.Read more","25,002",3,1300,Flat, Semi Furnished ,IJM Raintree Park Phase 1, Kukatpally
473,"Jain Ravi Gayathri Heights,Jubilee Enclave, Hitech City,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Jains Ravi Gayatri Located In Hitech City, Hyderabad.Read more","40,002",3,2200,Flat, Semi Furnished ,Jain Ravi Gayathri Heights, Hitech City
474,"Golf Edge,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional Property Management. Multiple direct options available.
Semi Furnished 4 BHK Is Available In Golf Edge Located In Financial District, Hyderabad.Read more","69,000",4,4000,Flat, Semi Furnished ,Golf Edge, Nanakaramguda
475,"Lodha Meridian,Kukatpally Housing Board Colony, Kukatpally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Lodha Meridian Located In  Kukatpally, Hyderabad.Read more","30,000",3,1454,Flat, Semi Furnished ,Lodha Meridian, Kukatpally
476,"Prestige High Fields,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Prestige High Fields Located In Nanakaramguda, Hyderabad.Read more","35,002",3,1400,Flat, Semi Furnished ,Prestige High Fields, Nanakaramguda
477,"Golf Edge,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional Property Management. Multiple direct options available.
Fully Furnished 3 BHK Is Available In Golf Edge Located In Financial District, Hyderabad.Read more","50,002",3,1545,Flat, Fully Furnished ,Golf Edge, Nanakaramguda
478,"Vajra Jasmine County,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Vajras Jasmine County Located In Nanakaramguda, Hyderabad.Read more","42,002",3,1345,Flat, Semi Furnished ,Vajra Jasmine County, Nanakaramguda
479,"Indis One City,Kukatpally Housing Board Colony, Kukatpally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Indus One City Located In Kukatpally, Hyderabad.Read more","35,002",3,2000,Flat, Semi Furnished ,Indis One City, Kukatpally
480,"NITISH JAYABHERI SAMUDAYAM,HUDA Techno Enclave, Hitech City,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Fully Furnished 3 BHK Is Available In Nitish Jayabheri Samudrayam Located In Hitech City, Hyderabad.Read more","50,002",3,2800,Flat, Fully Furnished ,NITISH JAYABHERI SAMUDAYAM, Hitech City
481,"Lotus Arcadia,Jubilee Enclave, Hitech City,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Lotus Arcadia Located In Hi Tech City, Hyderabad.Read more","38,002",3,3000,Flat, Semi Furnished ,Lotus Arcadia, Hitech City
482,"Surendra Neon,Mega Hills, Madhapur,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Surendra Neon  Located In Madhapur, Hyderabad.Read more","34,000",3,2000,Flat, Semi Furnished ,Surendra Neon, Madhapur
483,"Arudra Residency,Kukatpally, Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Arudra Residency Located In Kukatpally, Hyderabad.Read more","34,000",3,1400,Flat, Semi Furnished ,Arudra Residency, Kukatpally
484,"Trend Trendset Winz,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Trendset Winz Located In Nanakaramguda, Hyderabad.Read more","44,000",3,2235,Flat, Semi Furnished ,Trend Trendset Winz, Nanakaramguda
485,"Matrix Orchids,Venkat Reddy Colony, Serilingampally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Matrix Orchids Located In Serilingampally, Hyderabad.Read more","28,002",3,1800,Flat, Semi Furnished ,Matrix Orchids, Serilingampally
486,"Jayabheri Orange County,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In jayabheri orange county Located In financial district, Hyderabad.Read more","71,000",3,2800,Flat, Semi Furnished ,Jayabheri Orange County, Nanakaramguda
487,"Jain Ravi Gayathri Heights,Jubilee Enclave, Hitech City,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Jains Ravi Gayathri Located In Hitech City, Hyderabad.Read more","43,000",3,2000,Flat, Semi Furnished ,Jain Ravi Gayathri Heights, Hitech City
488,"Prestige High Fields,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Fully Furnished 2 BHK Is Available In Prestige High Fields Located In Nanakaramguda, Hyderabad.Read more","44,000",2,1204,Flat, Fully Furnished ,Prestige High Fields, Nanakaramguda
489,"Lingampally, Serilingampally,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
unfurnished 3 BHK Is Available In Raagas Residency Located In Ligampally, Hyderabad.Read more","29,000",3,1600,Flat, Unfurnished ,Lingampally, Serilingampally
490,"My Home Avatar,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In My Home Avatar Located In Nanakramguda, Hyderabad.Read more","40,002",3,1745,Flat, Semi Furnished ,My Home Avatar, Nanakaramguda
491,"Lansum Etania,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Lansum Etania Apartments Located In Financial District, Hyderabad.Read more","45,002",3,2200,Flat, Semi Furnished ,Lansum Etania, Nanakaramguda
492,"Cybercity Rainbow Vistas Rock Garden,Sevalal Nagar, Borabanda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Rainbow Vistas Rock Garden Located In  KPHB, Hyderabad.Read more","35,002",3,1300,Flat, Semi Furnished ,Cybercity Rainbow Vistas Rock Garden, Borabanda
493,"RTC Colony, Chandanagar,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Zee Habitat Located In Chandanagar, Hyderabad.Read more","35,002",3,2400,Flat, Semi Furnished ,RTC Colony, Chandanagar
494,"Golf Edge,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional Property Management. Multiple direct options available.
Fully Furnished 3 BHK Is Available In Golf Edge Located In Financial District, Hyderabad.Read more","74,000",3,1981,Flat, Fully Furnished ,Golf Edge, Nanakaramguda
495,"Jain Ravi Gayathri Heights,Jubilee Enclave, Hitech City,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Jains Ravi Gayathri Located In Hitech City, Hyderabad.Read more","36,000",3,2000,Flat, Semi Furnished ,Jain Ravi Gayathri Heights, Hitech City
496,"Doyens 92 Independent,Lingampally, Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.Professional Property Management. Multiple direct options available.Semi Furnished 3 BHK Is Available In Doyens 92 Independent Located In Lingampally, Hyderabad.Read more","29,000",3,2000,Flat, Semi Furnished ,Doyens 92 Independent, Lingampally
497,"Kukatpally, Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Surya Residency Located In Kukatpally, Hyderabad.Read more","21,000",3,1400,Flat, Semi Furnished ,Kukatpally, Kukatpally
498,"Vaishnavi Fresh Living Apartments,Vittal Rao Nagar, Madhapur,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Fresh Living Located In Madhapur, Hyderabad.Read more","44,000",3,2500,Flat, Semi Furnished ,Vaishnavi Fresh Living Apartments, Madhapur
499,"Hardhik Anmol Apartments,Kavuri Hills, Madhapur,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In HARDHIK ANMOL Located In  Madhapur, Hyderabad.Read more","33,000",3,2100,Flat, Semi Furnished ,Hardhik Anmol Apartments, Madhapur
500,"Kavuri Hills, Madhapur,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Sai Teja Residency Located In Madhapur, Hyderabad.Read more","24,000",3,1900,Flat, Semi Furnished ,Kavuri Hills, Madhapur
501,"Vittal Rao Nagar, Madhapur,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 6 BHK Is Available In Sujaya Residency Located In Madhapur, Hyderabad.Read more","59,000",6,3200,Flat, Semi Furnished ,Vittal Rao Nagar, Madhapur
502,"Golf Edge,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional
Property Management. Multiple direct options available.
Fully Furnished 3 BHK Is Available In Golf Edge Located In Financial District, Hyderabad.Read more","53,000",3,1545,Flat, Fully Furnished ,Golf Edge, Nanakaramguda
503,"Vajras jasmine county,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad. Professional
Property Management. Multiple direct options available.
Fully Furnished 3 BHK Is Available In Vajras jasmine county Located In Financial District, Hyderabad.Read more","42,000",3,1200,Flat, Fully Furnished ,Vajras jasmine county, Nanakaramguda
504,"Mantri Celestia,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 2 BHK Is Available In Mantri Celestia Located In Financial District, Hyderabad.Read more","25,002",2,780,Flat, Semi Furnished ,Mantri Celestia, Nanakaramguda
505,"Aliens Blend,Vittal Rao Nagar, Madhapur,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Aliens Blend Located In Madhapur, Hyderabad.Read more","30,000",3,1800,Flat, Semi Furnished ,Aliens Blend, Madhapur
506,"Vision Prime,Mega Hills, Madhapur,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Vision Prime Located In Madhapur, Hyderabad.Read more","35,000",3,2700,Flat, Semi Furnished ,Vision Prime, Madhapur
